label,article
0,"Ayon sa TheWrap.com, si Krupa, 35, ay nagsampa ng kaso noong Huwebes dahil dumanas umano siya ng emosyonal na pagkabalisa bilang resulta ng mga malisyosong komento ni Glanville, hindi lamang tungkol sa kanyang mga pribadong bahagi kundi pati na rin sa kanyang buhay pag-ibig. . Noong Nobyembre 2013, lumabas si Brandi sa Watch What Happens Live at sinabing kinausap siya ng dating karelasyon ni Joanna. Si Mohamed Hadid, na noon ay ikinasal sa Real Housewives of Beverly Hills cast member Yolanda Foster sa panahon ng relasyon, ay nagsabi na ang kanyang ""p--sy smelled."" (Ang pangalan ni Brandi ay classy pa rin dito.) Noong Disyembre, si Glanville, 42, ay gumawa ng karagdagang mga komento sa kanyang hitsura sa YouTube, na nagsasabing, ""Hindi mo matutulungan ang sitwasyon ng amoy."" Makalipas ang ilang linggo, nagpadala ng liham ang mga abogado ni Krupa kay Brandi tungkol sa plano nilang magsampa ng kaso. Nakalakip sa liham mula sa abogado ni Joanna ay, ""Alam mong mali ang iyong mga pahayag at na ang mga iyon ay nakakapinsala at nakakahiya kay Mrs. Krupa at/o sa kanyang asawa at ipinailalim si Mrs. Krupa... sa poot, panlilibak, paghamak at/o pinsala. ."" ""Bukod dito, lumilitaw na gumagawa ka ng mga maling pahayag tungkol kay Gng. Krupa upang gawing mabenta ang iyong sarili at upang iugnay ang iyong pangalan sa isang tanyag na tao sa pagtatangkang 'i-tag' ang iyong sarili sa kanya para sa media at personal na mga paghahanap at/o upang lumikha ng isang tatak para sa iyong sarili para sa monetary and attempted celebrity status,"" bahagi pa rin ng sulat. ""Ang iyong mga pahayag ay nakakahamak at sadyang mali."" Ang demanda ay nagsasaad na si Krupa ay nagdusa ng higit sa $15,000 bilang danyos."
0,"Kilala rin ang mang-aawit sa pagkumpas ng kanyang kamay sa tuwing nagtatanghal siya sa entablado. ""Ang kanyang internasyonal na tagumpay bilang isang blues/rock singer ay nagsimula noong 1964 at nagpapatuloy hanggang sa araw na ito. Si Joe ay lumikha ng halos 40 mga album at naglibot nang malawakan sa buong mundo,"" ayon sa Sony Music, ang kanyang record label. Si Cocker ay lumaki sa Britain at nanirahan sa Crawford, Colorado. Ang mga kapwa musikero at idolo ay pumunta sa Twitter upang ipahayag ang kanilang pakikiramay sa mang-aawit, na kinilala bilang isang Officer of the Order of the British Empire (OBE) sa Buckingham Palace. ""Goodbye and God Bless to Joe Cocker from one of his friends peace and love. R.,"" ayon sa kanyang kasamahan sa Beatles na si Ringo Starr. ""We loved you forever. We will miss you always ... RIP Joe Cocker,"" sabi ni Steven Tyler, front man ng Aerosmith. Inilarawan ni Bryan Adams si Cocker bilang isang mabuting kaibigan at isa sa mga pinakamahusay na mang-aawit."
0,"BLANTYRE, Malawi (AP) -- Naglakbay si Madonna sa Malawi sa unang pagkakataon para gumawa ng isang misyon. Inilunsad ni Madonna ang 50-bed pediatrics ward sa Queen Elizabeth Central Hospital sa Blantyre noong Huwebes. Ayon kay Sarah Ezzy, direktor ng Raising Malawi, ang bagong pasilidad ay ang unang pediatric intensive care unit sa bansa."
0," Kasama sa programa ang panalangin, bulaklak at pagtitirik ng kandila para sa mga biktima ng masaker. Lalahok ang iba't ibang miyembro ng media at ang grupo ng National Union of Journalists of the Philippines (NUJP). Inaasahang magtutungo bukas ang mga kaanak ng mga biktima ng Maguindanao massacre na hindi makakasama ngayong Sabado kasama si Department of Secretary (DoJ) Secretary Leila De Lima."
0, Linisin ang Friendship Department dahil bibisitahin ka ng Angel of Goodwill sa cycle na ito. Inutusan kang patawarin ang isang kaibigan. SCORPIO [Okt 23 - Nob 21]
0,"Sa imbestigasyon, dakong alas-8:00 ng gabi nitong Biyernes nang huling makitang buhay ang konsehal sa kanyang resthouse sa Chatue Subdivision sa Bgy. Julugan 8. Ngunit umaga na nang madiskubre ang kanyang katawan na may mga tama ng bala sa ulo at katawan."
0," Pinalibutan ng mga espesyal na pwersa ng Somali ang tatlong duguang terorista matapos ideklara ng mga opisyal noong Sabado na sila ang may kontrol sa Maka Al-Mukarramah Hotel, mahigit 12 oras matapos salakayin ng mga armadong miyembro ng al-Shabab rebel group ang hotel."
0," Isa pa ay ang kakayahan ni Mayweather na gamitin ang kanyang malakas na depensa para makapagtatag ng isang punto kung ito ay lalayo. ""Iyan ang kanyang bayan,"" sabi ni Murray sa mecca ng pagsusugal sa disyerto ng Nevada. ""Nagsalita siya ng kaunti tungkol sa kung gaano siya kahalaga sa ekonomiya ng lungsod."""
0,Clippers: Umalis sa court si forward Spencer Hawes dahil sa peklat sa kaliwang tuhod sa pagtatapos ng unang quarter at hindi na nakabalik. ... Wala na kaming guard Reggie Bullock (sprained right ankle) at guard Chris Douglas-Roberts (sore right Achilles) active. ... Ang nine-game winning streak ay ang pang-apat na pinakamatagal sa kasaysayan ng franchise.
0,"""Dapat suriin ng mga tao ang katotohanan. Hindi dapat dumaan ang mga tao at hindi dapat sumagot sa mga innuendo,"" sinabi ni Bill sa pahayagan, sa isang kuwento na inilathala noong Biyernes ng gabi. Nakatanggap si Bill ng standing ovation sa pagsisimula ng kanyang 90-minutong palabas sa Melbourne, na nagtapos sa hindi pagtugon ng komedyante sa mga paratang. Hinikayat ng isang host sa Real Radio 104.1 na nakabase sa Orlando ang mga dumalo sa palabas na tanungin si Bill tungkol sa mga paratang at kunin ang kanyang sagot, at nag-alok ang istasyon ng pera at mga premyo para sa pinakamahusay na footage. . Ngunit walang nagtanong kay Bill. Sinabi ni Bill sa Florida Today na ang gayong mga alok sa mga nanonood sa kanya ay nanganganib na lumikha ng isang ""kaisipan ng frat house."" ""Ngayon ipagpalagay na may nagdadala ng sandata o nagpasya na gumawa ng higit pang kalokohan,"" sabi niya. ""Magkakaroon ng mga anunsyo at ang mga istasyon ay gumawa ng ilang mga disclaimer, ngunit paano kung ang mga tao ay hindi makinig sa kanilang sinabi at sila ay nakakaakit ng karahasan."""
